tool,precision_no_mask,recall_no_mask,f1_no_mask,precision_with_mask,recall_with_mask,f1_with_mask,delta_f1
Argonbeamer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clip-Applicator,0.272108843537415,1.0,0.42780748663101603,1.0,0.77,0.8700564971751412,0.4422490105441252
Drainage,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HF-Coagulation-Probe,0.272108843537415,1.0,0.42780748663101603,1.0,0.815,0.8980716253443526,0.47026413871333655
Needle-Probe,0.055782312925170066,1.0,0.1056701030927835,0.975609756097561,0.975609756097561,0.975609756097561,0.8699396530047775
Palpation-Probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE-Forceps,0.6982343499197432,0.9908883826879271,0.8192090395480226,0.9952267303102625,0.9498861047835991,0.972027972027972,0.15281893247994938
Scissor,0.40816326530612246,1.0,0.5797101449275363,1.0,0.8066666666666666,0.8929889298892989,0.31327878496176265
Suction-Rod,0.272108843537415,1.0,0.42780748663101603,1.0,0.815,0.8980716253443526,0.47026413871333655
Trocar-Tip,0.1360544217687075,1.0,0.23952095808383234,1.0,0.6,0.75,0.5104790419161677
